system,dataset,replicate,familyID,carrierID,futureID,surfaceID,sourceTranche,stateType,modality,timeScope,carrierCount,partitionCount,injective,recovers,eligible,decisionEligible,authorityReason,partitionHash,duplicateOf,controlSidecar,N,T,fateObjectCount,D0,statePartitionCount,C,D,identityResolutionNumerator,identityResolutionDenominator,identityResolution,futureDiscordanceResolutionNumerator,futureDiscordanceResolutionDenominator,futureDiscordanceResolution,fateSelectiveSurplusNumerator,fateSelectiveSurplusDenominator,fateSelectiveSurplus,conditionalFutureAmbiguityNumerator,conditionalFutureAmbiguityDenominator,conditionalFutureAmbiguity,fateDiscordanceBaselineNumerator,fateDiscordanceBaselineDenominator,fateDiscordanceBaseline,conditionalAmbiguityRatioNumerator,conditionalAmbiguityRatioDenominator,conditionalAmbiguityRatio,exactRecovery,noninjectiveExactRecovery,sharedCompressionCoverageNumerator,sharedCompressionCoverageDenominator,sharedCompressionCoverage,fiberSpectrum
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P0_primedConstant,IBIP-11,precursorSnapshot,RNA,pretreatment,162,1,False,False,True,True,exactFrozenMaps,522c8f58b5a1c29f88ad73c56b8304f70af8e3ae9f384625986b55d18d8c7817,,IBIP11_source_marker_permutation,162,13041,2,6545,1,13041,6545,0,1,0,0,1,0,0,1,0,935,1863,0.501878690284,935,1863,0.501878690284,1,1,1,False,False,1,1,1,162:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_AXL,IBIP-11,precursorSnapshot,RNA,pretreatment,162,2,False,False,True,True,exactFrozenMaps,12ea928f754d7cac78c810ce41568043ab5d09f29225b4e750694b720bc3014e,,IBIP11_source_marker_permutation,162,13041,2,6545,2,6561,2921,80,161,0.496894409938,3624,6545,0.553705118411,8552,150535,0.0568107084731,2921,6561,0.445206523396,935,1863,0.501878690284,67183,75735,0.887079949825,False,False,1,1,1,72:1;90:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_EGFR,IBIP-11,precursorSnapshot,RNA,pretreatment,162,2,False,False,True,True,exactFrozenMaps,7399b723f84aa82a6670b18909c18502e9f8816d0a84455c632c15160ac51ee7,,IBIP11_source_marker_permutation,162,13041,2,6545,2,6841,3421,6200,13041,0.475423663829,284,595,0.47731092437,2092,1108485,0.00188726054029,3421,6841,0.50007308873,935,1863,0.501878690284,579393,581485,0.996402314763,False,False,1,1,1,62:1;100:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_FN1,IBIP-11,precursorSnapshot,RNA,pretreatment,162,3,False,False,True,True,exactFrozenMaps,e48d0179b3623b94c019b98aedd553b4de01f45c23499d364fb247503a77c10c,,IBIP11_source_marker_permutation,162,13041,2,6545,3,6912,3470,227,483,0.469979296066,615,1309,0.469824293354,-2,12903,-0.000155002712547,1735,3456,0.502025462963,935,1863,0.501878690284,23943,23936,1.00029244652,False,False,1,1,1,12:1;39:1;111:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_ITGA3,IBIP-11,precursorSnapshot,RNA,pretreatment,162,3,False,False,True,True,exactFrozenMaps,b5cf0f1a75eed43a787deab408188d12d15fdb19028cae9bf54326a161bee67f,,IBIP11_source_marker_permutation,162,13041,2,6545,3,5968,2659,7073,13041,0.542366382946,3886,6545,0.593735676089,626363,12193335,0.0513692931425,2659,5968,0.445542895442,935,1863,0.501878690284,4953717,5580080,0.887750175625,False,False,1,1,1,9:1;64:1;89:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_MITF,IBIP-11,precursorSnapshot,RNA,pretreatment,162,3,False,False,True,True,exactFrozenMaps,887811b74cad70372c8b1769feb2b78ab7ff147cb45375713e281ab9b37330e0,,IBIP11_source_marker_permutation,162,13041,2,6545,3,7114,3551,5927,13041,0.454489686374,2994,6545,0.457448433919,36077,12193335,0.00295874754528,3551,7114,0.499156592634,935,1863,0.501878690284,6615513,6651590,0.99457618404,False,False,1,1,1,10:1;39:1;113:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_MMP1,IBIP-11,precursorSnapshot,RNA,pretreatment,162,2,False,False,True,True,exactFrozenMaps,01101ce8339aa1829369c935e6b2006327b63397d1f2729229e04537a86a24e0,,IBIP11_source_marker_permutation,162,13041,2,6545,2,6580,3102,923,1863,0.495437466452,313,595,0.526050420168,33934,1108485,0.0306129537161,33,70,0.471428571429,935,1863,0.501878690284,5589,5950,0.939327731092,False,False,1,1,1,71:1;91:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_NGFR,IBIP-11,precursorSnapshot,RNA,pretreatment,162,3,False,False,True,True,exactFrozenMaps,def2ac36a7f1e6f94b3bc7ade98e7f37379077295dfa8b85cb7da7bb05fb7abf,,IBIP11_source_marker_permutation,162,13041,2,6545,3,10782,5414,251,1449,0.173222912353,1131,6545,0.172803666921,-568,1354815,-0.000419245432033,2707,5391,0.502133184938,935,1863,0.501878690284,560349,560065,1.000507084,False,False,1,1,1,6:1;9:1;147:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_SOX10,IBIP-11,precursorSnapshot,RNA,pretreatment,162,3,False,False,True,True,exactFrozenMaps,5b2714a7e1a83f2eed61474e206628ea0cf44b2c1201ec4624b6fc46c85b58ad,,IBIP11_source_marker_permutation,162,13041,2,6545,3,6454,3161,941,1863,0.505099302201,3384,6545,0.517035905271,145547,12193335,0.0119366030704,3161,6454,0.4897737837,935,1863,0.501878690284,5888943,6034490,0.9758808118,False,False,1,1,1,14:1;43:1;105:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P1_WNT5A,IBIP-11,precursorSnapshot,RNA,pretreatment,162,3,False,False,True,True,exactFrozenMaps,e610ec99a0f9a46a6150e6541cbe1bd78dd37a55c5338ed94fbc6badb5a706ba,,IBIP11_source_marker_permutation,162,13041,2,6545,3,9706,4877,145,567,0.255731922399,1668,6545,0.254851031322,-467,530145,-0.00088089107697,4877,9706,0.502472697301,935,1863,0.501878690284,395037,394570,1.00118356692,False,False,161,162,0.993827160494,1:1;23:1;138:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P2_nineGeneFateBlindVector,IBIP-11,precursorSnapshot,RNA,pretreatment,162,86,False,False,True,True,exactFrozenMaps,fc2565b80aaf738da8a7f1f411bfc3af15bad1f56aa934b190c6303dcb975ad2,,IBIP11_source_marker_permutation,162,13041,2,6545,86,233,58,12808,13041,0.982133271988,6487,6545,0.991138273491,109801,12193335,0.00900500150287,58,233,0.248927038627,935,1863,0.501878690284,108054,217855,0.495990452365,False,False,52,81,0.641975308642,1:58;2:12;3:8;4:1;5:2;6:1;7:2;9:1;13:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P3_fateBlindBurden,IBIP-11,precursorSnapshot,RNA,pretreatment,162,21,False,False,True,True,exactFrozenMaps,072191a073e9d2f016d6418928d0c4a5e4a56f63ba8fd383d136943e6377df8e,,IBIP11_source_marker_permutation,162,13041,2,6545,21,1359,653,1298,1449,0.895790200138,5892,6545,0.900229182582,6014,1354815,0.0044389824441,653,1359,0.480500367918,935,1863,0.501878690284,135171,141185,0.957403406878,False,False,79,81,0.975308641975,1:4;2:4;3:1;4:3;5:3;9:1;12:1;19:1;25:1;26:1;29:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P4_sourceHighlightedProgram,IBIP-11,precursorSnapshot,RNA,pretreatment,162,21,False,False,True,False,exactFrozenMaps,072191a073e9d2f016d6418928d0c4a5e4a56f63ba8fd383d136943e6377df8e,IBIP11:P3_fateBlindBurden,IBIP11_source_marker_permutation,162,13041,2,6545,21,1359,653,1298,1449,0.895790200138,5892,6545,0.900229182582,6014,1354815,0.0044389824441,653,1359,0.480500367918,935,1863,0.501878690284,135171,141185,0.957403406878,False,False,79,81,0.975308641975,1:4;2:4;3:1;4:3;5:3;9:1;12:1;19:1;25:1;26:1;29:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:P5_richPrecursorQuotient,IBIP-11,precursorSnapshot,RNA,pretreatment,162,34,False,False,True,True,exactFrozenMaps,e7a30ab50af6f1563149fdf340c216a06e666c56508e564ffb253d4b0233a9c9,,IBIP11_source_marker_permutation,162,13041,2,6545,34,4675,2328,8366,13041,0.641515221225,4217,6545,0.644308632544,34061,12193335,0.00279341131856,2328,4675,0.497967914439,935,1863,0.501878690284,4337064,4371125,0.992207726844,False,False,23,27,0.851851851852,1:24;2:2;3:2;4:1;5:2;6:1;12:1;96:1
Watermelon_PC9_osimertinib,Rewind,published,F001:Watermelon_PC9_osimertinib:Rewind:published:rewind_positive_cells:positive_resistant_fate,rewind_positive_cells,positive_resistant_fate,IBIP11:identity_cellID,IBIP-11,precursorSnapshot,RNA,pretreatment,162,162,True,True,True,False,exactFrozenMaps,262f2366677bf7221451c88ab907049609ea6d57e788c5ae8388ccc44d209ec2,,IBIP11_source_marker_permutation,162,13041,2,6545,162,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,935,1863,0.501878690284,,,undefinedInjective,True,False,0,1,0,1:162
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:P0_timeConstant,IBIP-12,snapshot,RNA,day0,1183,1,False,False,True,True,exactFrozenMaps,ff8db9193b1c4a5a1398c8eea7f9d9aee8ea6f64c5490cef6ba2210264ba84e8,,IBIP12_random_gene_history,1183,699153,182,546362,1,699153,546362,0,1,0,0,1,0,0,1,0,546362,699153,0.78146271274,546362,699153,0.78146271274,1,1,1,False,False,1,1,1,1183:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:P1_fourProjectionState,IBIP-12,snapshot,RNA,day0,1183,54,False,False,True,True,exactFrozenMaps,7c5b49b0bd2f2389712cd6d926bf43a310425cde2659bd389df5f1cc1b296152,,IBIP12_random_gene_history,1183,699153,182,546362,54,17882,14337,681271,699153,0.974423337953,532025,546362,0.973759156017,-253711277,381990631386,-0.00066418193577,14337,17882,0.80175595571,546362,699153,0.78146271274,10023756561,9770045284,1.02596828056,False,False,1,1,1,3:1;4:1;6:2;7:1;8:1;9:2;10:2;11:1;12:2;13:2;14:2;15:3;16:4;17:3;18:3;19:1;20:1;21:2;22:2;24:3;25:1;28:2;29:1;33:1;34:1;36:1;37:1;38:1;45:1;48:1;49:2;58:1;74:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:P2_eightProjectionState,IBIP-12,snapshot,RNA,day0,1183,875,False,False,True,True,exactFrozenMaps,5aa3a3945492d885a246297d6a0d596817310cf290c08e7eee7e7d77c65f4dd3,,IBIP12_random_gene_history,1183,699153,182,546362,875,470,390,698683,699153,0.999327758016,272986,273181,0.999286187546,-7939765,190995315693,-4.15704697845e-05,39,47,0.829787234043,546362,699153,0.78146271274,27266967,25679014,1.06183855034,False,False,75,169,0.443786982249,1:658;2:163;3:35;4:10;5:4;6:3;7:1;9:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:P3_sourceHighlightedPrograms,IBIP-12,snapshot,RNA,day0,1183,1,False,False,True,False,exactFrozenMaps,b0e79e757c4a29091ff99bd04e1019b49f28d9cdfadcb025c43a12211d7e9b84,,IBIP12_random_gene_history,1183,699153,182,546362,1,699153,546362,0,1,0,0,1,0,0,1,0,546362,699153,0.78146271274,546362,699153,0.78146271274,1,1,1,False,False,1,1,1,1183:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:P4_twelveProjectionState,IBIP-12,snapshot,RNA,day0,1183,1170,False,False,True,True,exactFrozenMaps,8867d9d910fdc4d249a3f8d19a26361036d2be95b4cb901e5a2c90c218bca44d,,IBIP12_random_gene_history,1183,699153,182,546362,1170,13,9,53780,53781,0.999981406073,546353,546362,0.999983527405,62333,29383894722,2.12133213074e-06,9,13,0.692307692308,546362,699153,0.78146271274,484029,546362,0.885912636677,False,False,2,91,0.021978021978,1:1157;2:13
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:P5_twelveProjectionDistribution,IBIP-12,snapshot,RNA,day0,1183,1181,False,False,True,True,exactFrozenMaps,ba285fca219f7b82ee2bd84f76759179dfb5d67122aec2660ac91fb535baa152,,IBIP12_random_gene_history,1183,699153,182,546362,1181,2,1,699151,699153,0.999997139396,546361,546362,0.999998169712,393571,381990631386,1.03031584458e-06,1,2,0.5,546362,699153,0.78146271274,699153,1092724,0.639825793155,False,False,4,1183,0.00338123415046,1:1179;2:2
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D0:identity_lineageBarcodeSet,IBIP-12,snapshot,RNA,day0,1183,1183,True,True,True,False,exactFrozenMaps,8f11ee1ed8820c2ce5a46cf39c40d69314858b9165b1fc9a3869f1d420f0d562,,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D3:P0_timeConstant,IBIP-12,snapshot,RNA,day3,1183,1,False,False,True,True,exactFrozenMaps,ff8db9193b1c4a5a1398c8eea7f9d9aee8ea6f64c5490cef6ba2210264ba84e8,IBIP12:H03:D0:P0_timeConstant,IBIP12_random_gene_history,1183,699153,182,546362,1,699153,546362,0,1,0,0,1,0,0,1,0,546362,699153,0.78146271274,546362,699153,0.78146271274,1,1,1,False,False,1,1,1,1183:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D3:P1_fourProjectionState,IBIP-12,snapshot,RNA,day3,1183,54,False,False,True,True,exactFrozenMaps,8c2b225b1151b4ac478e9b0c2d2b8570635c25a9f01badbf34a16e16838c5316,,IBIP12_random_gene_history,1183,699153,182,546362,54,23173,19214,675980,699153,0.966855609573,263574,273181,0.964832839766,-386339558,190995315693,-0.00202276980772,19214,23173,0.8291546196,546362,699153,0.78146271274,6716762871,6330423313,1.06102902427,False,False,1,1,1,5:3;6:3;7:2;8:2;9:1;11:1;12:4;13:3;14:2;15:5;16:2;17:1;18:1;19:2;23:1;24:4;25:1;26:2;27:2;28:1;29:1;32:1;34:2;36:2;37:1;42:1;50:1;56:1;141:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D3:P2_eightProjectionState,IBIP-12,snapshot,RNA,day3,1183,792,False,False,True,True,exactFrozenMaps,940604335e93fbbc41b68b5c5bb127cb7551bb299d60449e5c916f05889014c8,,IBIP12_random_gene_history,1183,699153,182,546362,792,1189,1039,697964,699153,0.99829937081,545323,546362,0.998098330411,-76795549,381990631386,-0.000201040399136,1039,1189,0.873843566022,546362,699153,0.78146271274,726419967,649624418,1.11821530545,False,False,46,91,0.505494505495,1:585;2:141;3:31;4:13;5:10;6:4;7:3;8:2;14:1;22:1;24:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D3:P3_sourceHighlightedPrograms,IBIP-12,snapshot,RNA,day3,1183,1,False,False,True,False,exactFrozenMaps,b0e79e757c4a29091ff99bd04e1019b49f28d9cdfadcb025c43a12211d7e9b84,IBIP12:H03:D0:P3_sourceHighlightedPrograms,IBIP12_random_gene_history,1183,699153,182,546362,1,699153,546362,0,1,0,0,1,0,0,1,0,546362,699153,0.78146271274,546362,699153,0.78146271274,1,1,1,False,False,1,1,1,1183:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D3:P4_twelveProjectionState,IBIP-12,snapshot,RNA,day3,1183,1134,False,False,True,True,exactFrozenMaps,d29d755d1c321661e8cf4dc663ea0c2b8c315809705c487556f3619096689b7e,,IBIP12_random_gene_history,1183,699153,182,546362,1134,86,81,699067,699153,0.99987699402,546281,546362,0.999851746644,-9644261,381990631386,-2.52473757406e-05,81,86,0.941860465116,546362,699153,0.78146271274,56631393,46987132,1.20525323827,False,False,6,91,0.0659340659341,1:1105;2:18;3:7;4:1;5:2;7:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D3:P5_twelveProjectionDistribution,IBIP-12,snapshot,RNA,day3,1183,1167,False,False,True,True,exactFrozenMaps,db81d9588405524e574e6a0fcdb53ab50fb926c2a873121dddd39b3324361b66,,IBIP12_random_gene_history,1183,699153,182,546362,1167,27,26,233042,233051,0.999961381843,273168,273181,0.999952412503,-571034,63665105231,-8.96934039342e-06,26,27,0.962962962963,546362,699153,0.78146271274,3029663,2458629,1.23225708311,False,False,25,1183,0.0211327134404,1:1158;2:5;3:2;4:1;5:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:D3:identity_lineageBarcodeSet,IBIP-12,snapshot,RNA,day3,1183,1183,True,True,True,False,exactFrozenMaps,8f11ee1ed8820c2ce5a46cf39c40d69314858b9165b1fc9a3869f1d420f0d562,IBIP12:H03:D0:identity_lineageBarcodeSet,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0:P0_timeConstant,IBIP-12,history,RNA,H0,1183,1,False,False,True,True,exactFrozenMaps,ff8db9193b1c4a5a1398c8eea7f9d9aee8ea6f64c5490cef6ba2210264ba84e8,IBIP12:H03:D0:P0_timeConstant,IBIP12_random_gene_history,1183,699153,182,546362,1,699153,546362,0,1,0,0,1,0,0,1,0,546362,699153,0.78146271274,546362,699153,0.78146271274,1,1,1,False,False,1,1,1,1183:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0:P1_fourProjectionState,IBIP-12,history,RNA,H0,1183,54,False,False,True,True,exactFrozenMaps,7c5b49b0bd2f2389712cd6d926bf43a310425cde2659bd389df5f1cc1b296152,IBIP12:H03:D0:P1_fourProjectionState,IBIP12_random_gene_history,1183,699153,182,546362,54,17882,14337,681271,699153,0.974423337953,532025,546362,0.973759156017,-253711277,381990631386,-0.00066418193577,14337,17882,0.80175595571,546362,699153,0.78146271274,10023756561,9770045284,1.02596828056,False,False,1,1,1,3:1;4:1;6:2;7:1;8:1;9:2;10:2;11:1;12:2;13:2;14:2;15:3;16:4;17:3;18:3;19:1;20:1;21:2;22:2;24:3;25:1;28:2;29:1;33:1;34:1;36:1;37:1;38:1;45:1;48:1;49:2;58:1;74:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0:P2_eightProjectionState,IBIP-12,history,RNA,H0,1183,875,False,False,True,True,exactFrozenMaps,5aa3a3945492d885a246297d6a0d596817310cf290c08e7eee7e7d77c65f4dd3,IBIP12:H03:D0:P2_eightProjectionState,IBIP12_random_gene_history,1183,699153,182,546362,875,470,390,698683,699153,0.999327758016,272986,273181,0.999286187546,-7939765,190995315693,-4.15704697845e-05,39,47,0.829787234043,546362,699153,0.78146271274,27266967,25679014,1.06183855034,False,False,75,169,0.443786982249,1:658;2:163;3:35;4:10;5:4;6:3;7:1;9:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0:P3_sourceHighlightedPrograms,IBIP-12,history,RNA,H0,1183,1,False,False,True,False,exactFrozenMaps,b0e79e757c4a29091ff99bd04e1019b49f28d9cdfadcb025c43a12211d7e9b84,IBIP12:H03:D0:P3_sourceHighlightedPrograms,IBIP12_random_gene_history,1183,699153,182,546362,1,699153,546362,0,1,0,0,1,0,0,1,0,546362,699153,0.78146271274,546362,699153,0.78146271274,1,1,1,False,False,1,1,1,1183:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0:P4_twelveProjectionState,IBIP-12,history,RNA,H0,1183,1170,False,False,True,True,exactFrozenMaps,8867d9d910fdc4d249a3f8d19a26361036d2be95b4cb901e5a2c90c218bca44d,IBIP12:H03:D0:P4_twelveProjectionState,IBIP12_random_gene_history,1183,699153,182,546362,1170,13,9,53780,53781,0.999981406073,546353,546362,0.999983527405,62333,29383894722,2.12133213074e-06,9,13,0.692307692308,546362,699153,0.78146271274,484029,546362,0.885912636677,False,False,2,91,0.021978021978,1:1157;2:13
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0:P5_twelveProjectionDistribution,IBIP-12,history,RNA,H0,1183,1181,False,False,True,True,exactFrozenMaps,ba285fca219f7b82ee2bd84f76759179dfb5d67122aec2660ac91fb535baa152,IBIP12:H03:D0:P5_twelveProjectionDistribution,IBIP12_random_gene_history,1183,699153,182,546362,1181,2,1,699151,699153,0.999997139396,546361,546362,0.999998169712,393571,381990631386,1.03031584458e-06,1,2,0.5,546362,699153,0.78146271274,699153,1092724,0.639825793155,False,False,4,1183,0.00338123415046,1:1179;2:2
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0:identity_lineageBarcodeSet,IBIP-12,history,RNA,H0,1183,1183,True,True,True,False,exactFrozenMaps,8f11ee1ed8820c2ce5a46cf39c40d69314858b9165b1fc9a3869f1d420f0d562,IBIP12:H03:D0:identity_lineageBarcodeSet,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0_3:P0_timeConstant,IBIP-12,history,RNA,H0_3,1183,1,False,False,True,True,exactFrozenMaps,f82cea9e0a58f3bc9eb277ec8a5334944df574cefb72c6d3cefc20195c1ca607,,IBIP12_random_gene_history,1183,699153,182,546362,1,699153,546362,0,1,0,0,1,0,0,1,0,546362,699153,0.78146271274,546362,699153,0.78146271274,1,1,1,False,False,1,1,1,1183:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0_3:P1_fourProjectionState,IBIP-12,history,RNA,H0_3,1183,838,False,False,True,True,exactFrozenMaps,5f22ba0a85d0e8e36243c7d20de92998b6214d80c317d3e191ba36597ef687c6,,IBIP12_random_gene_history,1183,699153,182,546362,838,645,547,232836,233051,0.999077455149,545815,546362,0.998998832276,-10011067,127330210462,-7.86228732653e-05,547,645,0.848062015504,546362,699153,0.78146271274,127478897,117467830,1.08522390343,False,False,555,1183,0.469146238377,1:628;2:137;3:45;4:17;5:4;6:2;7:2;9:1;10:1;13:1
Watermelon_PC9_osimertinib,Watermelon,pooled,F002:Watermelon_PC9_osimertinib:Watermelon:pooled:H03:pooled_distributional_fate,H03,pooled_distributional_fate,IBIP12:H03:H0_3:P2_eightProjectionState,IBIP-12,history,RNA,H0_3,1183,1183,True,True,True,True,exactFrozenMaps,5cdfb531db008849b27c51777e857f659331ca011a88f1793bf494e509403053,,IBIP12_random_gene_history,1183,699153,182,546362,1183,0,0,1,1,1,1,1,1,0,1,0,,,undefinedInjective,546362,699153,0.78146271274,,,undefinedInjective,True,False,0,1,0,1:1183
